"from","to"
93,40
93,48
93,49
93,59
93,63
93,68
93,77
93,82
93,89
93,90
93,91
93,97
93,100
93,110
93,116
93,127
93,146
94,6
94,22
94,35
94,45
94,58
94,76
94,82
94,127
95,49
95,96
96,2
96,5
96,6
96,16
96,22
96,35
96,36
96,45
96,49
96,55
96,58
96,66
96,76
96,94
96,95
96,97
96,100
96,103
96,127
96,136
96,178
97,6
97,16
97,45
97,55
97,58
97,76
97,79
97,128
97,136
98,13
98,21
98,32
98,36
98,42
98,73
98,121
98,148
99,2
99,6
99,7
99,9
99,45
99,105
99,165
99,166
100,4
100,14
100,21
100,27
100,30
100,35
100,40
100,42
100,44
100,45
100,62
100,68
100,70
100,72
100,82
100,83
100,87
100,88
100,116
100,117
